measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Kingdom of Cambodia,Male,15-49 years,Depressive disorders,Percent,2021,0.0381283345659499,0.0475778785004818,0.0296826036942587
Prevalence,Kingdom of Cambodia,Female,15-49 years,Depressive disorders,Percent,2021,0.047259444788058,0.0587588030542722,0.0368984105324302
Prevalence,Solomon Islands,Male,15-49 years,Depressive disorders,Percent,2021,0.0364714466643786,0.0463017299091539,0.0280682212133807
Prevalence,Solomon Islands,Female,15-49 years,Depressive disorders,Percent,2021,0.0445565143895507,0.0562319678651963,0.0353187293215182
Prevalence,Turkmenistan,Male,15-49 years,Depressive disorders,Percent,2021,0.0362695932897316,0.0449909870196276,0.0287854559568625
Prevalence,Turkmenistan,Female,15-49 years,Depressive disorders,Percent,2021,0.050926004252895,0.0639052347912206,0.0398851929060951
Prevalence,Republic of the Marshall Islands,Male,15-49 years,Depressive disorders,Percent,2021,0.0360322808339974,0.0460099879106114,0.0285510185392007
Prevalence,Republic of the Marshall Islands,Female,15-49 years,Depressive disorders,Percent,2021,0.0424955084830236,0.0527428478221818,0.0338616752155146
Prevalence,Taiwan (Province of China),Male,15-49 years,Depressive disorders,Percent,2021,0.0247235328741726,0.0307058971963905,0.0195101345166127
Prevalence,Taiwan (Province of China),Female,15-49 years,Depressive disorders,Percent,2021,0.041492718856735,0.0512989467370551,0.0328684688486575
Prevalence,Republic of Serbia,Male,15-49 years,Depressive disorders,Percent,2021,0.0313411925349477,0.0395542773543385,0.0249738079745847
Prevalence,Republic of Serbia,Female,15-49 years,Depressive disorders,Percent,2021,0.052765059447398,0.0671710692255511,0.0414607800667958
Prevalence,Republic of Slovenia,Male,15-49 years,Depressive disorders,Percent,2021,0.0333676883180453,0.041675520297772,0.0269842743062076
Prevalence,Republic of Slovenia,Female,15-49 years,Depressive disorders,Percent,2021,0.0602909689494282,0.0767489406837471,0.0466154862511292
Prevalence,Slovak Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0315024540392047,0.0393250890149457,0.0250199421294643
Prevalence,Slovak Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.0562242574166447,0.0734585097886371,0.0436806451841959
Prevalence,Czech Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0344362535006159,0.0430338778810706,0.0275496244747126
Prevalence,Czech Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.056518371788819,0.0717434788768657,0.0441883964632586
Prevalence,Australia,Male,15-49 years,Depressive disorders,Percent,2021,0.0598408785876515,0.0762264838012646,0.0474346991881353
Prevalence,Australia,Female,15-49 years,Depressive disorders,Percent,2021,0.0870649512134105,0.1104942912228017,0.0679619031294551
Prevalence,Hungary,Male,15-49 years,Depressive disorders,Percent,2021,0.033639197816522,0.0414839804600926,0.0267828084704112
Prevalence,Hungary,Female,15-49 years,Depressive disorders,Percent,2021,0.0525433621857565,0.0657040814701978,0.0416909836891017
Prevalence,Republic of Croatia,Male,15-49 years,Depressive disorders,Percent,2021,0.034214891784981,0.042231559017774,0.0273646288845267
Prevalence,Republic of Croatia,Female,15-49 years,Depressive disorders,Percent,2021,0.0536704442668285,0.0673336909656183,0.0421496930833483
Prevalence,Republic of Poland,Male,15-49 years,Depressive disorders,Percent,2021,0.0348223106079665,0.0401299207653028,0.0298107803541626
Prevalence,Republic of Poland,Female,15-49 years,Depressive disorders,Percent,2021,0.0404223129485775,0.0473689670732115,0.0346943437626632
Prevalence,Montenegro,Male,15-49 years,Depressive disorders,Percent,2021,0.0322214251734341,0.0399467447183886,0.025535173068668
Prevalence,Montenegro,Female,15-49 years,Depressive disorders,Percent,2021,0.0579969114452457,0.0749247823244134,0.045211135260687
Prevalence,Romania,Male,15-49 years,Depressive disorders,Percent,2021,0.0329519387954278,0.0407640145711212,0.0262388055485582
Prevalence,Romania,Female,15-49 years,Depressive disorders,Percent,2021,0.0526368986089092,0.0665926233821179,0.0412140096078113
Prevalence,Bosnia and Herzegovina,Male,15-49 years,Depressive disorders,Percent,2021,0.0308589867963801,0.0383370036342413,0.024793151280845
Prevalence,Bosnia and Herzegovina,Female,15-49 years,Depressive disorders,Percent,2021,0.0564637367767617,0.0720913202081157,0.0435070119336584
Prevalence,Ukraine,Male,15-49 years,Depressive disorders,Percent,2021,0.0532375331475152,0.0664397377271049,0.0425272044177187
Prevalence,Ukraine,Female,15-49 years,Depressive disorders,Percent,2021,0.076129365279179,0.0961734121653158,0.0595182469203322
Prevalence,Republic of Bulgaria,Male,15-49 years,Depressive disorders,Percent,2021,0.0322553821249254,0.039624662796047,0.0252277152521367
Prevalence,Republic of Bulgaria,Female,15-49 years,Depressive disorders,Percent,2021,0.0582673924008567,0.0741766149168936,0.0456661687726739
Prevalence,Republic of Albania,Male,15-49 years,Depressive disorders,Percent,2021,0.0260898645085841,0.0326391081057816,0.0209982297537996
Prevalence,Republic of Albania,Female,15-49 years,Depressive disorders,Percent,2021,0.0511978298107966,0.0658708684280507,0.0400635461361921
Prevalence,North Macedonia,Male,15-49 years,Depressive disorders,Percent,2021,0.0302256799836979,0.0377691854524005,0.023777340356717
Prevalence,North Macedonia,Female,15-49 years,Depressive disorders,Percent,2021,0.054657682570701,0.0691354810042088,0.043130399499179
Prevalence,Republic of Korea,Male,15-49 years,Depressive disorders,Percent,2021,0.027453684638977,0.0336963382524162,0.0220374129909803
Prevalence,Republic of Korea,Female,15-49 years,Depressive disorders,Percent,2021,0.0403675412916447,0.0499311242564682,0.0322786325467855
Prevalence,Republic of Lithuania,Male,15-49 years,Depressive disorders,Percent,2021,0.0596438394804138,0.0750134430715958,0.0473676993910922
Prevalence,Republic of Lithuania,Female,15-49 years,Depressive disorders,Percent,2021,0.0824885335438493,0.1044115315871246,0.0637193327531263
Prevalence,Japan,Male,15-49 years,Depressive disorders,Percent,2021,0.0340354099686817,0.0391089244993784,0.0299990468244244
Prevalence,Japan,Female,15-49 years,Depressive disorders,Percent,2021,0.0444400008394479,0.0513697191690726,0.0390308138446265
Prevalence,Republic of Singapore,Male,15-49 years,Depressive disorders,Percent,2021,0.0272374654248946,0.0333796728754284,0.0219052345507428
Prevalence,Republic of Singapore,Female,15-49 years,Depressive disorders,Percent,2021,0.0350005544054205,0.044406582032158,0.0276449670753725
Prevalence,Republic of Uzbekistan,Male,15-49 years,Depressive disorders,Percent,2021,0.0376029605390821,0.0480546513219184,0.0298808633464493
Prevalence,Republic of Uzbekistan,Female,15-49 years,Depressive disorders,Percent,2021,0.0513641592907638,0.0657736022389377,0.0402293503281137
Prevalence,Russian Federation,Male,15-49 years,Depressive disorders,Percent,2021,0.0481991884874593,0.0562607029650851,0.040998938929137
Prevalence,Russian Federation,Female,15-49 years,Depressive disorders,Percent,2021,0.0603432656413448,0.070963180133954,0.0513942072601289
Prevalence,Republic of Latvia,Male,15-49 years,Depressive disorders,Percent,2021,0.0527352862473656,0.0668041902994808,0.0402185903363922
Prevalence,Republic of Latvia,Female,15-49 years,Depressive disorders,Percent,2021,0.0727574879192822,0.094044680324638,0.0554378440286544
Prevalence,Brunei Darussalam,Male,15-49 years,Depressive disorders,Percent,2021,0.0208786827382963,0.0261436250682818,0.0168056775307213
Prevalence,Brunei Darussalam,Female,15-49 years,Depressive disorders,Percent,2021,0.0320807903941646,0.0419010284116945,0.0254449738804165
Prevalence,Republic of Moldova,Male,15-49 years,Depressive disorders,Percent,2021,0.0416714516959297,0.0518116433601794,0.0328770804889968
Prevalence,Republic of Moldova,Female,15-49 years,Depressive disorders,Percent,2021,0.0604633839344177,0.0781912824169169,0.0467412916311416
Prevalence,Republic of Cyprus,Male,15-49 years,Depressive disorders,Percent,2021,0.0358222809861967,0.0450413330848123,0.0284683143363315
Prevalence,Republic of Cyprus,Female,15-49 years,Depressive disorders,Percent,2021,0.0659537852741775,0.0866892711449274,0.0509505319789049
Prevalence,Kingdom of Denmark,Male,15-49 years,Depressive disorders,Percent,2021,0.0425859054547905,0.0527425055514252,0.033576937230876
Prevalence,Kingdom of Denmark,Female,15-49 years,Depressive disorders,Percent,2021,0.0733819077310552,0.0945139538164752,0.0568619160773863
Prevalence,Republic of Belarus,Male,15-49 years,Depressive disorders,Percent,2021,0.0556045732901463,0.0710503933222755,0.0436311666382554
Prevalence,Republic of Belarus,Female,15-49 years,Depressive disorders,Percent,2021,0.0830153661611725,0.1067041280751258,0.0641975258062909
Prevalence,Kingdom of Belgium,Male,15-49 years,Depressive disorders,Percent,2021,0.0488804981723712,0.0621470743003892,0.0386236517501592
Prevalence,Kingdom of Belgium,Female,15-49 years,Depressive disorders,Percent,2021,0.0745754322213324,0.0937070537890449,0.0581292206092113
Prevalence,Republic of Austria,Male,15-49 years,Depressive disorders,Percent,2021,0.0367676337571899,0.046413324125197,0.0290839731888425
Prevalence,Republic of Austria,Female,15-49 years,Depressive disorders,Percent,2021,0.0643527934690835,0.0816526153592135,0.0494385918499373
Prevalence,Republic of Estonia,Male,15-49 years,Depressive disorders,Percent,2021,0.0464869991595549,0.0584990078181624,0.0364694450683694
Prevalence,Republic of Estonia,Female,15-49 years,Depressive disorders,Percent,2021,0.0701346306169084,0.089663667325108,0.0544583075627176
Prevalence,Grand Duchy of Luxembourg,Male,15-49 years,Depressive disorders,Percent,2021,0.0412945279362496,0.0507422571686169,0.0331824802526756
Prevalence,Grand Duchy of Luxembourg,Female,15-49 years,Depressive disorders,Percent,2021,0.0659233471401095,0.081957895374436,0.0514334667931461
Prevalence,Republic of Italy,Male,15-49 years,Depressive disorders,Percent,2021,0.044888763098238,0.0530637579096895,0.0382014789295496
Prevalence,Republic of Italy,Female,15-49 years,Depressive disorders,Percent,2021,0.0819116842894722,0.0973230809834662,0.0695110547211638
Prevalence,New Zealand,Male,15-49 years,Depressive disorders,Percent,2021,0.0459009598165355,0.058691601315841,0.0371571649180917
Prevalence,New Zealand,Female,15-49 years,Depressive disorders,Percent,2021,0.0712007567669757,0.0887656213573464,0.0572876917334679
Prevalence,Principality of Andorra,Male,15-49 years,Depressive disorders,Percent,2021,0.0493460227340323,0.0626673667756711,0.0375099019331719
Prevalence,Principality of Andorra,Female,15-49 years,Depressive disorders,Percent,2021,0.0788249965817698,0.1043323095738741,0.0602034168308615
Prevalence,Federal Republic of Germany,Male,15-49 years,Depressive disorders,Percent,2021,0.0467708026087892,0.0591625376678757,0.0360947306376346
Prevalence,Federal Republic of Germany,Female,15-49 years,Depressive disorders,Percent,2021,0.0703770977095294,0.0927650621011754,0.0543304512266922
Prevalence,State of Israel,Male,15-49 years,Depressive disorders,Percent,2021,0.0510361493301906,0.0649966490767681,0.0399991920986223
Prevalence,State of Israel,Female,15-49 years,Depressive disorders,Percent,2021,0.0835320107404077,0.1092144996138761,0.0639607022153202
Prevalence,French Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0499044714645497,0.0627032640499604,0.0398165869191099
Prevalence,French Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.0845927017137766,0.1091736262761885,0.0655879427381069
Prevalence,Republic of Finland,Male,15-49 years,Depressive disorders,Percent,2021,0.0593461813187061,0.0749226422533394,0.0468919189313909
Prevalence,Republic of Finland,Female,15-49 years,Depressive disorders,Percent,2021,0.092390105832507,0.1162716314553167,0.0732631613582098
Prevalence,Hellenic Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0631567639032785,0.0810516693577375,0.0481123488960562
Prevalence,Hellenic Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.1092836459764409,0.1469152313580463,0.0807246674955641
Prevalence,Ireland,Male,15-49 years,Depressive disorders,Percent,2021,0.0593144347600001,0.0762945369062703,0.0465687651725958
Prevalence,Ireland,Female,15-49 years,Depressive disorders,Percent,2021,0.0918083981946301,0.1167875949209663,0.070830089974349
Prevalence,Republic of Iceland,Male,15-49 years,Depressive disorders,Percent,2021,0.0353862447816849,0.0439499910202242,0.0278995635021218
Prevalence,Republic of Iceland,Female,15-49 years,Depressive disorders,Percent,2021,0.0583095807997188,0.0738267428103948,0.0449869074840297
Prevalence,United Kingdom of Great Britain and Northern Ireland,Male,15-49 years,Depressive disorders,Percent,2021,0.063649507494318,0.0753492862919853,0.0544071715964635
Prevalence,United Kingdom of Great Britain and Northern Ireland,Female,15-49 years,Depressive disorders,Percent,2021,0.0858297602536636,0.1023576496254569,0.0726808578675516
Prevalence,Canada,Male,15-49 years,Depressive disorders,Percent,2021,0.0475354541028319,0.0616417915570386,0.0372600941012198
Prevalence,Canada,Female,15-49 years,Depressive disorders,Percent,2021,0.0796446786462692,0.1028091526881126,0.061826761896325
Prevalence,United States of America,Male,15-49 years,Depressive disorders,Percent,2021,0.0618438601135768,0.0711454777928651,0.054053870693621
Prevalence,United States of America,Female,15-49 years,Depressive disorders,Percent,2021,0.1069509212456703,0.1217560370845781,0.0936825694198315
Prevalence,Argentine Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0362869950692957,0.0442143784002342,0.0287107728861755
Prevalence,Argentine Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.0555801126935562,0.068817752834587,0.0442681785617866
Prevalence,Kingdom of Sweden,Male,15-49 years,Depressive disorders,Percent,2021,0.0481828713876027,0.0577047727647843,0.0400180217337503
Prevalence,Kingdom of Sweden,Female,15-49 years,Depressive disorders,Percent,2021,0.0987416163704782,0.1203372291912611,0.0799561263879911
Prevalence,Eastern Republic of Uruguay,Male,15-49 years,Depressive disorders,Percent,2021,0.0400763510317997,0.0502276961921217,0.031749179816541
Prevalence,Eastern Republic of Uruguay,Female,15-49 years,Depressive disorders,Percent,2021,0.0709835293836962,0.0914481417080054,0.0537682699336262
Prevalence,Kingdom of the Netherlands,Male,15-49 years,Depressive disorders,Percent,2021,0.0477712333056128,0.0601404799246398,0.0378598413628813
Prevalence,Kingdom of the Netherlands,Female,15-49 years,Depressive disorders,Percent,2021,0.0767234028273186,0.0995732472236739,0.0594872566158503
Prevalence,Republic of Chile,Male,15-49 years,Depressive disorders,Percent,2021,0.0457991886888437,0.0582885608484066,0.0359311616514123
Prevalence,Republic of Chile,Female,15-49 years,Depressive disorders,Percent,2021,0.0883616582924986,0.1183454943512431,0.066686592107825
Prevalence,Grenada,Male,15-49 years,Depressive disorders,Percent,2021,0.0376746856693836,0.0472134089927279,0.0297698516900793
Prevalence,Grenada,Female,15-49 years,Depressive disorders,Percent,2021,0.057722618746343,0.0737752279290584,0.0442026059007048
Prevalence,Swiss Confederation,Male,15-49 years,Depressive disorders,Percent,2021,0.0486496895790374,0.0611189495082622,0.0385329292484351
Prevalence,Swiss Confederation,Female,15-49 years,Depressive disorders,Percent,2021,0.0801444662431446,0.1037872639620885,0.060985277376725
Prevalence,Republic of Guyana,Male,15-49 years,Depressive disorders,Percent,2021,0.0628159989765267,0.0805091643097778,0.048676477521402
Prevalence,Republic of Guyana,Female,15-49 years,Depressive disorders,Percent,2021,0.1001584480022179,0.1333302107252204,0.0765363296958055
Prevalence,Commonwealth of Dominica,Male,15-49 years,Depressive disorders,Percent,2021,0.0340521444641842,0.0428747305085851,0.0267418052851294
Prevalence,Commonwealth of Dominica,Female,15-49 years,Depressive disorders,Percent,2021,0.0575584064344331,0.0764439686794358,0.0430274765572046
Prevalence,Kingdom of Norway,Male,15-49 years,Depressive disorders,Percent,2021,0.0509417808348882,0.0602916324570259,0.0427796350297795
Prevalence,Kingdom of Norway,Female,15-49 years,Depressive disorders,Percent,2021,0.0769827830061122,0.0917457113304578,0.0641456914609093
Prevalence,Portuguese Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0523511756064616,0.0677157901482491,0.0409645185351712
Prevalence,Portuguese Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.1044428632064595,0.1394029249264853,0.0785528600561859
Prevalence,Republic of Malta,Male,15-49 years,Depressive disorders,Percent,2021,0.036622370133323,0.0463920555531825,0.0287664797436233
Prevalence,Republic of Malta,Female,15-49 years,Depressive disorders,Percent,2021,0.0650262619281979,0.0847937872754281,0.0500566855683516
Prevalence,Barbados,Male,15-49 years,Depressive disorders,Percent,2021,0.0356153461664511,0.0457317201496637,0.0283406882111444
Prevalence,Barbados,Female,15-49 years,Depressive disorders,Percent,2021,0.0607301161663021,0.0806114313482223,0.0465015505460423
Prevalence,Republic of Cuba,Male,15-49 years,Depressive disorders,Percent,2021,0.0439617670877123,0.0560968445105525,0.0346658282740536
Prevalence,Republic of Cuba,Female,15-49 years,Depressive disorders,Percent,2021,0.0674681746140138,0.0888695180822077,0.0534069440609228
Prevalence,Belize,Male,15-49 years,Depressive disorders,Percent,2021,0.0369636678641986,0.0473502278511563,0.0289438872102016
Prevalence,Belize,Female,15-49 years,Depressive disorders,Percent,2021,0.0570404080348064,0.0738219937603299,0.0436538852833158
Prevalence,Commonwealth of the Bahamas,Male,15-49 years,Depressive disorders,Percent,2021,0.0312082663114905,0.039974724688196,0.0243146737011242
Prevalence,Commonwealth of the Bahamas,Female,15-49 years,Depressive disorders,Percent,2021,0.0588466395786087,0.0772890781540963,0.0441688546592678
Prevalence,Jamaica,Male,15-49 years,Depressive disorders,Percent,2021,0.0317522980145072,0.0402987970442167,0.0255782986667635
Prevalence,Jamaica,Female,15-49 years,Depressive disorders,Percent,2021,0.0589037228257476,0.078091065134172,0.0440627747094475
Prevalence,Saint Lucia,Male,15-49 years,Depressive disorders,Percent,2021,0.0424680005304693,0.0546228010654842,0.0328027481673195
Prevalence,Saint Lucia,Female,15-49 years,Depressive disorders,Percent,2021,0.0629487343942088,0.0834021898556475,0.047566099673364
Prevalence,Republic of Haiti,Male,15-49 years,Depressive disorders,Percent,2021,0.0362031080712608,0.0470744464418763,0.0285459662654488
Prevalence,Republic of Haiti,Female,15-49 years,Depressive disorders,Percent,2021,0.0653812590562883,0.0857727963944362,0.0496339123987502
Prevalence,Saint Vincent and the Grenadines,Male,15-49 years,Depressive disorders,Percent,2021,0.0426071599230538,0.0536695673395909,0.0332539765548639
Prevalence,Saint Vincent and the Grenadines,Female,15-49 years,Depressive disorders,Percent,2021,0.0594797704753844,0.0780069820246375,0.0452180658521182
Prevalence,Kingdom of Spain,Male,15-49 years,Depressive disorders,Percent,2021,0.0510456798484352,0.0632406187595568,0.0406898333330905
Prevalence,Kingdom of Spain,Female,15-49 years,Depressive disorders,Percent,2021,0.1021236299964071,0.1280013157423626,0.0808271117045849
Prevalence,Dominican Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0370057716293687,0.0478222399130715,0.0285281874311223
Prevalence,Dominican Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.0666749190468669,0.0880928082072961,0.0494865232385418
Prevalence,Republic of Suriname,Male,15-49 years,Depressive disorders,Percent,2021,0.062003294930976,0.0798672907422527,0.0468757924047542
Prevalence,Republic of Suriname,Female,15-49 years,Depressive disorders,Percent,2021,0.0969976629164771,0.1265639311485903,0.0722848557596366
Prevalence,Antigua and Barbuda,Male,15-49 years,Depressive disorders,Percent,2021,0.0300211532122854,0.0386772284813809,0.0237944770674368
Prevalence,Antigua and Barbuda,Female,15-49 years,Depressive disorders,Percent,2021,0.0577912502716579,0.0768065443246091,0.0440300385947474
Prevalence,Republic of El Salvador,Male,15-49 years,Depressive disorders,Percent,2021,0.0376017352906642,0.04903704172347,0.0295394313183302
Prevalence,Republic of El Salvador,Female,15-49 years,Depressive disorders,Percent,2021,0.064913916769682,0.0860526033740744,0.0493714054425572
Prevalence,Republic of Honduras,Male,15-49 years,Depressive disorders,Percent,2021,0.0326528638420034,0.0415256658474366,0.0253311463011168
Prevalence,Republic of Honduras,Female,15-49 years,Depressive disorders,Percent,2021,0.0572125315146656,0.0745660200084534,0.0425392765834527
Prevalence,Federative Republic of Brazil,Male,15-49 years,Depressive disorders,Percent,2021,0.0384200301039982,0.0441057277861046,0.0331361650216387
Prevalence,Federative Republic of Brazil,Female,15-49 years,Depressive disorders,Percent,2021,0.0783419665807543,0.0917239156627488,0.0668154023647253
Prevalence,Republic of Guatemala,Male,15-49 years,Depressive disorders,Percent,2021,0.0368668701675862,0.0485252076751507,0.0288912304141419
Prevalence,Republic of Guatemala,Female,15-49 years,Depressive disorders,Percent,2021,0.0661415344949498,0.0912820585967701,0.0492531765038529
Prevalence,Bolivarian Republic of Venezuela,Male,15-49 years,Depressive disorders,Percent,2021,0.0362681211019046,0.0460878529365689,0.0282827630938608
Prevalence,Bolivarian Republic of Venezuela,Female,15-49 years,Depressive disorders,Percent,2021,0.0520678914348229,0.0681573943528243,0.0393577229246956
Prevalence,Republic of Nicaragua,Male,15-49 years,Depressive disorders,Percent,2021,0.0371369510723635,0.0468846835037339,0.0293837321482869
Prevalence,Republic of Nicaragua,Female,15-49 years,Depressive disorders,Percent,2021,0.0600646948205749,0.0770884252626646,0.0455703281037385
